minas-funcs.c,target/minas,Jun 24 2020 17:10:40,1593029440,readModel,3.957000e-03,1,100
minas-funcs.c,target/minas,Jun 24 2020 17:10:40,1593029454,readExamples,1.363318e+01,1,653457
minas.c,target/minas,Jun 24 2020 17:10:39,1593029517,main,6.310716e+01,1,653457
evaluate.c,target/eval,Jun 24 2020 17:10:39,1593029539,main,2.135103e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 17:12:19,1593029540,readModel,3.962000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 17:12:19,1593029554,readExamples,1.382545e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029554,sendModel,8.440000e-04,4,100
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029579,sendExamples,2.455106e+01,4,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029579,main,2.455113e+01,4,653457
evaluate.c,target/eval,Jun 24 2020 17:10:39,1593029601,main,2.159232e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 17:12:19,1593029602,readModel,7.860000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 17:12:19,1593029616,readExamples,1.381964e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029616,sendModel,2.317200e-02,8,100
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029643,sendExamples,2.585874e+01,8,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029643,main,2.585928e+01,8,653457
evaluate.c,target/eval,Jun 24 2020 17:10:39,1593029664,main,2.141584e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 19:13:29,1593036849,sendExamples,8.3.0,2.444232e+01,4,653457
minas-mpi.c,./target/mfog,Jun 24 2020 19:13:29,1593036849,main,8.3.0,2.444238e+01,4,653457
evaluate.c,target/eval,Jun 24 2020 19:11:46,1593036871,main,8.3.0,2.154029e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 19:13:29,1593036872,readModel,8.3.0,4.016000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 19:13:29,1593036886,readExamples,8.3.0,1.409103e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 19:13:29,1593036886,sendModel,8.3.0,2.004300e-02,8,100
minas-mpi.c,./target/mfog,Jun 24 2020 19:13:29,1593036926,sendExamples,8.3.0,3.816639e+01,8,653457
minas-mpi.c,./target/mfog,Jun 24 2020 19:13:29,1593036926,main,8.3.0,3.816773e+01,8,653457
evaluate.c,target/eval,Jun 24 2020 19:11:46,1593036947,main,8.3.0,2.143291e+01,1,653457
minas-funcs.c,target/minas,Jun 24 2020 19:32:04,1593037925,readModel,8.3.0,3.932000e-03,1,100
minas-funcs.c,target/minas,Jun 24 2020 19:32:04,1593037938,readExamples,8.3.0,1.363254e+01,1,653457
minas.c,target/minas,Jun 24 2020 19:32:04,1593038003,main,8.3.0,6.338954e+01,1,653457
evaluate.c,target/eval,Jun 24 2020 19:32:03,1593038025,main,8.3.0,2.142215e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 19:33:45,1593038027,readModel,8.3.0,4.011000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 19:33:45,1593038041,readExamples,8.3.0,1.386997e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 19:33:45,1593038041,sendModel,8.3.0,7.920000e-04,4,100
minas-mpi.c,./target/mfog,Jun 24 2020 19:33:45,1593038066,sendExamples,8.3.0,2.429453e+01,4,653457
minas-mpi.c,./target/mfog,Jun 24 2020 19:33:45,1593038066,main,8.3.0,2.429460e+01,4,653457
evaluate.c,target/eval,Jun 24 2020 19:32:03,1593038089,main,8.3.0,2.316589e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 19:33:45,1593038090,readModel,8.3.0,3.942000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 19:33:45,1593038104,readExamples,8.3.0,1.385094e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 19:33:45,1593038104,sendModel,8.3.0,2.012500e-02,8,100
minas-mpi.c,./target/mfog,Jun 24 2020 19:33:45,1593038132,sendExamples,8.3.0,2.577602e+01,8,653457
minas-mpi.c,./target/mfog,Jun 24 2020 19:33:45,1593038132,main,8.3.0,2.577617e+01,8,653457
evaluate.c,target/eval,Jun 24 2020 19:32:03,1593038153,main,8.3.0,2.158976e+01,1,653457
