# source, executable, build_date-time, wall-clock, function, gnuc, elapsed, cores, itens
src/minas/evaluate.c,target/eval,Jul  2 2020 12:32:07,1593703971,main,10.1.0,1.773000e-02,1,653458
src/minas/minas.c,target/eval,Jul  2 2020 12:34:44,1593704086,readExamples,10.1.0,1.980433e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 12:35:11,1593704113,readExamples,10.1.0,1.960684e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 12:35:55,1593704158,readExamples,10.1.0,2.017001e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 12:40:10,1593704413,readExamples,10.1.0,2.063717e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 12:41:43,1593704505,readExamples,10.1.0,1.961008e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 12:41:43,1593704586,readExamples,10.1.0,1.974241e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 12:51:01,1593705063,readExamples,10.1.0,1.981250e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 13:01:34,1593705697,readExamples,10.1.0,1.937163e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 13:01:46,1593705708,readExamples,10.1.0,1.916847e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 13:15:37,1593706539,readExamples,10.1.0,1.938601e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 13:18:07,1593706689,readExamples,10.1.0,1.947313e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 13:18:07,1593706712,readExamples,10.1.0,1.894065e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 17:48:26,1593722908,readExamples,10.1.0,2.060525e+00,1,653457
src/minas/minas.c,target/minas,Jul  2 2020 18:10:37,1593724237,readModel,10.1.0,9.890000e-04,1,100
src/minas/minas.c,target/minas,Jul  2 2020 18:10:37,1593724239,readExamples,10.1.0,2.367712e+00,1,653457
src/minas/minas.c,target/minas,Jul  2 2020 18:10:37,1593724248,MNS_minas_main,10.1.0,7.997822e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 18:10:37,1593724250,readExamples,10.1.0,2.265550e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  2 2020 18:10:36,1593724250,main,10.1.0,1.816000e-02,1,653457
src/minas/minas.c,./target/mfog,Jul  2 2020 18:10:51,1593724251,readModel,10.1.0,1.110000e-03,1,100
src/minas/minas.c,./target/mfog,Jul  2 2020 18:10:51,1593724254,readExamples,10.1.0,3.189760e+00,1,653457
src/mpi/minas-mpi.c,./target/mfog,Jul  2 2020 18:10:51,1593724254,sendModel,10.1.0,4.100000e-04,4,100
src/mpi/minas-mpi.c,./target/mfog,Jul  2 2020 18:10:51,1593724258,sendExamples,10.1.0,3.562303e+00,4,653457
src/mpi/minas-mpi.c,./target/mfog,Jul  2 2020 18:10:51,1593724258,MNS_mfog_main,10.1.0,3.562322e+00,4,653457
src/minas/minas.c,target/eval,Jul  2 2020 18:10:37,1593724260,readExamples,10.1.0,2.179627e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  2 2020 18:10:36,1593724261,main,10.1.0,1.791700e-02,1,653457
src/minas/minas.c,target/minas,Jul  2 2020 19:09:45,1593727786,readModel,10.1.0,1.057000e-03,1,100
src/minas/minas.c,target/minas,Jul  2 2020 19:09:45,1593727788,readExamples,10.1.0,1.969790e+00,1,653457
src/minas/minas.c,target/minas,Jul  2 2020 19:09:45,1593727795,MNS_minas_main,10.1.0,7.332888e+00,1,653457
src/minas/minas.c,target/eval,Jul  2 2020 19:09:45,1593727797,readExamples,10.1.0,2.018770e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  2 2020 19:09:45,1593727798,main,10.1.0,1.912900e-02,1,653457
src/minas/minas.c,./target/mfog,Jul  2 2020 19:09:58,1593727798,readModel,10.1.0,6.620000e-04,1,100
src/minas/minas.c,./target/mfog,Jul  2 2020 19:09:58,1593727800,readExamples,10.1.0,1.969785e+00,1,653457
src/mpi/minas-mpi.c,./target/mfog,Jul  2 2020 19:09:58,1593727800,sendModel,10.1.0,2.900000e-04,4,100
src/mpi/minas-mpi.c,./target/mfog,Jul  2 2020 19:09:58,1593727803,sendExamples,10.1.0,2.845367e+00,4,653457
src/mpi/minas-mpi.c,./target/mfog,Jul  2 2020 19:09:58,1593727803,MNS_mfog_main,10.1.0,2.845387e+00,4,653457
src/minas/minas.c,target/eval,Jul  2 2020 19:09:45,1593727805,readExamples,10.1.0,1.762041e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  2 2020 19:09:45,1593727805,main,10.1.0,1.622100e-02,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 11:04:25,1593785065,readModel,10.1.0,6.320000e-04,1,100
src/minas/minas.c,target/minas,Jul  3 2020 11:04:25,1593785068,readExamples,10.1.0,2.077994e+00,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 11:04:25,1593785075,MNS_minas_main,10.1.0,7.319062e+00,1,653457
src/minas/minas.c,target/eval,Jul  3 2020 11:04:25,1593785077,readExamples,10.1.0,2.011849e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  3 2020 11:04:25,1593785078,main,10.1.0,1.703900e-02,1,653457
src/minas/minas.c,target/eval,Jul  3 2020 11:04:25,1593785161,readExamples,10.1.0,1.963616e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  3 2020 11:04:25,1593785161,main,10.1.0,1.702800e-02,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 13:42:55,1593794576,readModel,10.1.0,6.650000e-04,1,100
src/minas/minas.c,target/minas,Jul  3 2020 13:42:55,1593794577,readExamples,10.1.0,1.900632e+00,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 13:42:55,1593794584,MNS_minas_main,10.1.0,6.484006e+00,1,653457
src/minas/minas.c,target/eval,Jul  3 2020 13:42:55,1593794586,readExamples,10.1.0,1.878374e+00,1,653457
src/minas/evaluate.c,target/eval,Jul  3 2020 13:42:55,1593794586,main,10.1.0,5.075300e-01,1,0
src/minas/minas.c,target/minas,Jul  3 2020 16:12:50,1593803570,readModel,10.1.0,6.180000e-04,1,100
src/minas/minas.c,target/minas,Jul  3 2020 16:12:50,1593803572,readExamples,10.1.0,1.788501e+00,1,653457
